timestamp_end,power_watts_end,kettle_watts_end,kettle_on_true,kettle_on_prob,kettle_on_pred,decision_threshold
2013-02-18 16:00:00,271.1502686,1.0,0,0.4040738046169281,0,0.7
2013-02-18 17:00:00,1267.474121,107.51448,0,0.3996458053588867,0,0.7
2013-02-18 18:00:00,1098.681885,1.0,0,0.3999198377132416,0,0.7
2013-02-18 19:00:00,616.0657349,1.0068259,0,0.5137556195259094,0,0.7
2013-02-18 20:00:00,453.9338074,1.0,0,0.41415712237358093,0,0.7
2013-02-18 21:00:00,828.2887573,1.0,0,0.45414307713508606,0,0.7
2013-02-18 22:00:00,957.5858154,1.0,0,0.2797921895980835,0,0.7
2013-02-18 23:00:00,299.1917419,1.0,0,0.3610742390155792,0,0.7
2013-02-19 00:00:00,314.4112244,1.0,0,0.2542116940021515,0,0.7
2013-02-19 01:00:00,263.7285767,1.0,0,0.4158746898174286,0,0.7
2013-02-19 02:00:00,280.5454407,1.0,0,0.3206726908683777,0,0.7
2013-02-19 03:00:00,290.2882996,1.0,0,0.40479224920272827,0,0.7
2013-02-19 04:00:00,277.664856,1.0,0,0.17513741552829742,0,0.7
2013-02-19 05:00:00,255.3669128,1.0,0,0.273505300283432,0,0.7
2013-02-19 06:00:00,285.5260315,1.0,0,0.17956571280956268,0,0.7
2013-02-19 07:00:00,472.4681091,102.19244,0,0.2053588181734085,0,0.7
2013-02-19 08:00:00,650.6343994,69.17265,0,0.18236105144023895,0,0.7
2013-02-19 09:00:00,375.3558655,1.2226087,0,0.559196949005127,0,0.7
2013-02-19 10:00:00,388.5469055,1.0035273,0,0.4206172525882721,0,0.7
2013-02-19 11:00:00,448.0625,1.0,0,0.47773978114128113,0,0.7
2013-02-19 12:00:00,671.2741699,53.867123,0,0.3717350363731384,0,0.7
2013-02-19 13:00:00,391.4585876,1.0034188,0,0.5186294317245483,0,0.7
2013-02-19 14:00:00,464.4961853,89.80171,0,0.3342847526073456,0,0.7
2013-02-19 15:00:00,332.7295227,1.0,0,0.20671898126602173,0,0.7
2013-02-19 16:00:00,366.3883972,1.0,0,0.2388010025024414,0,0.7
2013-02-19 17:00:00,523.4801636,1.0,0,0.253401517868042,0,0.7
2013-02-19 18:00:00,980.8637085,96.65921,0,0.22687844932079315,0,0.7
2013-02-19 19:00:00,563.7910767,1.0,0,0.37304332852363586,0,0.7
2013-02-19 20:00:00,529.0018311,1.0,0,0.35731202363967896,0,0.7
2013-02-19 21:00:00,653.4156494,1.0034071,0,0.390781044960022,0,0.7
2013-02-19 22:00:00,246.6261139,1.0,0,0.2967217266559601,0,0.7
2013-02-19 23:00:00,252.3410339,1.0,0,0.2074832320213318,0,0.7
2013-02-20 00:00:00,257.2287903,1.0,0,0.19999194145202637,0,0.7
2013-02-20 01:00:00,291.9124146,1.0068611,0,0.22546102106571198,0,0.7
2013-02-20 02:00:00,239.9576721,1.0068847,0,0.17872798442840576,0,0.7
2013-02-20 03:00:00,276.7977905,1.0,0,0.19175300002098083,0,0.7
2013-02-20 04:00:00,251.5410767,1.0,0,0.16138526797294617,0,0.7
2013-02-20 05:00:00,297.3786316,1.0,0,0.1710871160030365,0,0.7
2013-02-20 06:00:00,279.7337036,1.0,0,0.13398905098438263,0,0.7
2013-02-20 07:00:00,362.1654663,68.506874,0,0.13251163065433502,0,0.7
2013-02-20 08:00:00,534.8410645,21.256454,0,0.14271216094493866,0,0.7
