index,power_watts,kettle_watts
2013-02-17 16:00:00+00:00,250.9253998,0.99769056
2013-02-17 17:00:00+00:00,633.7852173,131.15535
2013-02-17 18:00:00+00:00,556.0980225,1.0068144
2013-02-17 19:00:00+00:00,719.8467407,1.0068144
2013-02-17 20:00:00+00:00,634.1713867,1
2013-02-17 21:00:00+00:00,437.9407654,1
2013-02-17 22:00:00+00:00,300.9034119,1
2013-02-17 23:00:00+00:00,271.1785583,1
2013-02-18 00:00:00+00:00,234.5114288,1
2013-02-18 01:00:00+00:00,240.5271454,1.0071048
2013-02-18 02:00:00+00:00,272.8216248,1
2013-02-18 03:00:00+00:00,235.9137573,1
2013-02-18 04:00:00+00:00,242.1115112,1.0068611
2013-02-18 05:00:00+00:00,272.6767883,1
2013-02-18 06:00:00+00:00,260.5099487,1.0034364
2013-02-18 07:00:00+00:00,654.0450439,93.82444
2013-02-18 08:00:00+00:00,504.9389648,1
2013-02-18 09:00:00+00:00,397.9387512,1.0084746
2013-02-18 10:00:00+00:00,429.5307007,1.0040568
2013-02-18 11:00:00+00:00,582.0231934,86.94492
2013-02-18 12:00:00+00:00,714.8425293,90.73943
2013-02-18 13:00:00+00:00,1514.288086,111.527435
2013-02-18 14:00:00+00:00,782.8167725,1
2013-02-18 15:00:00+00:00,298.9076233,1
2013-02-18 16:00:00+00:00,271.1502686,1
2013-02-18 17:00:00+00:00,1267.474121,107.51448
2013-02-18 18:00:00+00:00,1098.681885,1
2013-02-18 19:00:00+00:00,616.0657349,1.0068259
2013-02-18 20:00:00+00:00,453.9338074,1
2013-02-18 21:00:00+00:00,828.2887573,1
2013-02-18 22:00:00+00:00,957.5858154,1
2013-02-18 23:00:00+00:00,299.1917419,1
2013-02-19 00:00:00+00:00,314.4112244,1
2013-02-19 01:00:00+00:00,263.7285767,1
2013-02-19 02:00:00+00:00,280.5454407,1
2013-02-19 03:00:00+00:00,290.2882996,1
2013-02-19 04:00:00+00:00,277.664856,1
2013-02-19 05:00:00+00:00,255.3669128,1
2013-02-19 06:00:00+00:00,285.5260315,1
2013-02-19 07:00:00+00:00,472.4681091,102.19244
2013-02-19 08:00:00+00:00,650.6343994,69.17265
2013-02-19 09:00:00+00:00,375.3558655,1.2226087
2013-02-19 10:00:00+00:00,388.5469055,1.0035273
2013-02-19 11:00:00+00:00,448.0625,1
2013-02-19 12:00:00+00:00,671.2741699,53.867123
2013-02-19 13:00:00+00:00,391.4585876,1.0034188
2013-02-19 14:00:00+00:00,464.4961853,89.80171
2013-02-19 15:00:00+00:00,332.7295227,1
2013-02-19 16:00:00+00:00,366.3883972,1
2013-02-19 17:00:00+00:00,523.4801636,1
2013-02-19 18:00:00+00:00,980.8637085,96.65921
