index,power_watts
2013-02-17 16:00:00+00:00,638.7167358398438
2013-02-17 17:00:00+00:00,573.8969116210938
2013-02-17 18:00:00+00:00,574.0449829101562
2013-02-17 19:00:00+00:00,1860.3165283203125
2013-02-17 20:00:00+00:00,424.23406982421875
2013-02-17 21:00:00+00:00,597.90380859375
2013-02-17 22:00:00+00:00,351.2456970214844
2013-02-17 23:00:00+00:00,307.5395202636719
2013-02-18 00:00:00+00:00,323.3780212402344
2013-02-18 01:00:00+00:00,312.2633361816406
2013-02-18 02:00:00+00:00,310.0998229980469
2013-02-18 03:00:00+00:00,218.22891235351562
2013-02-18 04:00:00+00:00,198.89328002929688
2013-02-18 05:00:00+00:00,245.7965545654297
2013-02-18 06:00:00+00:00,195.621337890625
2013-02-18 07:00:00+00:00,363.2185974121094
2013-02-18 08:00:00+00:00,201.09121704101562
2013-02-18 09:00:00+00:00,899.4396362304688
2013-02-18 10:00:00+00:00,981.070068359375
2013-02-18 11:00:00+00:00,361.6103515625
2013-02-18 12:00:00+00:00,900.2384033203125
2013-02-18 13:00:00+00:00,455.51812744140625
2013-02-18 14:00:00+00:00,470.62176513671875
2013-02-18 15:00:00+00:00,318.62347412109375
2013-02-18 16:00:00+00:00,405.4058837890625
2013-02-18 17:00:00+00:00,509.8500061035156
2013-02-18 18:00:00+00:00,745.4120483398438
2013-02-18 19:00:00+00:00,1960.796630859375
2013-02-18 20:00:00+00:00,572.05517578125
2013-02-18 21:00:00+00:00,387.1910400390625
2013-02-18 22:00:00+00:00,394.86724853515625
2013-02-18 23:00:00+00:00,328.8502502441406
2013-02-19 00:00:00+00:00,317.69415283203125
2013-02-19 01:00:00+00:00,294.4413757324219
2013-02-19 02:00:00+00:00,167.3655242919922
2013-02-19 03:00:00+00:00,170.47930908203125
2013-02-19 04:00:00+00:00,186.91378784179688
2013-02-19 05:00:00+00:00,263.6891174316406
2013-02-19 06:00:00+00:00,308.5899658203125
2013-02-19 07:00:00+00:00,167.75302124023438
2013-02-19 08:00:00+00:00,162.1208953857422
2013-02-19 09:00:00+00:00,166.7172393798828
2013-02-19 10:00:00+00:00,239.80276489257812
2013-02-19 11:00:00+00:00,247.7979278564453
2013-02-19 12:00:00+00:00,380.3855285644531
2013-02-19 13:00:00+00:00,377.2257080078125
2013-02-19 14:00:00+00:00,259.73919677734375
2013-02-19 15:00:00+00:00,282.2417907714844
2013-02-19 16:00:00+00:00,344.15399169921875
2013-02-19 17:00:00+00:00,355.0
2013-02-19 18:00:00+00:00,833.9429931640625
2013-02-19 19:00:00+00:00,817.2979125976562
2013-02-19 20:00:00+00:00,1699.30908203125
2013-02-19 21:00:00+00:00,558.8145751953125
2013-02-19 22:00:00+00:00,360.2972412109375
2013-02-19 23:00:00+00:00,309.6230773925781
2013-02-20 00:00:00+00:00,321.8846740722656
2013-02-20 01:00:00+00:00,171.2530059814453
2013-02-20 02:00:00+00:00,167.6310272216797
2013-02-20 03:00:00+00:00,174.90516662597656
2013-02-20 04:00:00+00:00,191.0500030517578
2013-02-20 05:00:00+00:00,257.3224182128906
2013-02-20 06:00:00+00:00,269.3979187011719
2013-02-20 07:00:00+00:00,169.25172424316406
2013-02-20 08:00:00+00:00,170.5603485107422
2013-02-20 09:00:00+00:00,169.10000610351562
2013-02-20 10:00:00+00:00,358.5899658203125
2013-02-20 11:00:00+00:00,303.8667907714844
